1 ALLEN STREET,Unspecified,Unknown,Unknown
109 CHRYSTIE STREET,5,985998,201020
109 CHRYSTIE STREET,5,985998,201020
109 EAST 130 STREET,25,1001890,233676
109 GREENWICH AVENUE,6,983716,208124
109 SOUTH STREET,1,983672,196803
109 SPRING STREET,1,984296,202883
109 WEST 27 STREET,13,986553,210968
1091 ST NICHOLAS AVENUE,33,1000874,244628
11 2 AVENUE,9,986751,203069
11 DIVISION STREET,5,985149,199425
11 DOYERS STREET,5,984768,199582
11 EAST 125 STREET,25,1000368,233010
11 EAST 3 STREET,9,986716,203819
11 EAST 30 STREET,Unspecified,988243,210915
11 JERSEY STREET,5,985456,203147
11 PELL STREET,5,984902,199672
11 STANTON STREET,5,986364,202540
11 WADSWORTH AVENUE,33,1001281,247148
11 WEST 18 STREET,13,986327,208446
110 FORSYTH STREET,5,986316,201217
110 LENOX AVENUE,28,998126,231374
110 NAGLE AVENUE,34,1004458,252899
110 RIVINGTON STREET,7,987625,201565
110 WEST 27 STREET,13,986577,210948
110 WOOSTER STREET,1,984077,203321
1104 LEXINGTON AVENUE,19,995405,221210
1109 LEXINGTON AVENUE,19,995428,221239
1109 LEXINGTON AVENUE,19,995428,221239
111 BOWERY,5,985606,200814
111 ELDRIDGE STREET,5,986477,200928
111 HENRY STREET,7,986533,199133
111 HESTER STREET,5,986167,200342
111 HUDSON STREET,1,981850,201444
111 MOTT STREET,5,984988,200687
111 SPRING STREET,1,984279,202894
111 WEST 126 STREET,28,999296,233924
1110 2 AVENUE,17,994064,216261
1110 LEXINGTON AVENUE,19,995435,221264
1111 LEXINGTON AVENUE,19,995436,221253
1113 LEXINGTON AVENUE,19,995443,221266
112 AUDUBON AVENUE,33,1001625,246080
112 BOWERY,5,985623,200873
112 EAST 116 STREET,25,1000150,230386
112 EAST 123 STREET,25,1001049,232007
112 HUDSON STREET,1,981858,201455
112 MULBERRY STREET,5,984726,200707
112 PRINCE STREET,1,984381,203446
112 WEST 125 STREET,28,999150,233679
112 WEST 125 STREET,28,999150,233679
112 WEST 125 STREET,28,999150,233679
1130 1 AVENUE,19,995185,216743
1133 LEXINGTON AVENUE,19,995576,221505
1138 1 AVENUE,19,995224,216814
1138 LEXINGTON AVENUE,19,995602,221565
114 AUDUBON AVENUE,33,1001634,246096
114 EAST 4 STREET,9,987527,203653
114 RIDGE STREET,7,988919,201231
114 WEST 125 STREET,28,999139,233685
114 WEST 27 STREET,Unspecified,Unknown,Unknown
1145 2 AVENUE,19,994283,216673
1147 2 AVENUE,19,994294,216692
115 EAST 115 STREET,Unspecified,Unknown,Unknown
115 EAST 125 STREET,25,1001335,232475
115 EAST 31 STREET,Unspecified,989253,210650
115 EDGECOMBE AVENUE,32,999319,238158
115 EDGECOMBE AVENUE,32,999319,238158
115 ELDRIDGE STREET,5,986492,200968
115 ESSEX STREET,7,987627,201345
115 HESTER STREET,5,986129,200357
115 WEST 142 STREET,32,1001311,237606
1150 LEXINGTON AVENUE,19,995691,221726
1154 LEXINGTON AVENUE,19,995710,221761
