1 ALLEN STREET,Unspecified,Unknown,Unknown
147 EAST 26 STREET,13,989051,209291
147 ELIZABETH STREET,5,985601,201683
147 WEST 26 STREET,13,986253,210840
1470 1 AVENUE,19,997027,220068
1471 2 AVENUE,19,996371,220443
1476 LEXINGTON AVENUE,19,997719,225385
1477 3 AVENUE,Unspecified,996655,222408
1479 1 AVENUE,19,997105,220221
1479 1 AVENUE,19,997105,220221
148 BAXTER STREET,5,984710,201284
148 BOWERY,5,985777,201320
148 RIVINGTON STREET,7,988191,201340
148 RIVINGTON STREET,7,988191,201340
148 STANTON STREET,7,988239,201806
148 WEST 142 STREET,Unspecified,Unknown,Unknown
148 WEST 83 STREET,20,991172,225318
1480 1 AVENUE,19,997111,220218
1481 2 AVENUE,19,996450,220584
1483 1 AVENUE,19,997131,220267
1483 YORK AVENUE,19,997913,220206
1486 LEXINGTON AVENUE,Unspecified,Unknown,Unknown
1489 1 AVENUE,19,997169,220337
1489 2 AVENUE,19,996501,220676
149 EAST 121 STREET,Unspecified,Unknown,Unknown
149 WEST 27 STREET,13,986345,211083
1492 1 AVENUE,19,997187,220357
1493 FIRST AVENUE,19,997194,220383
1495 ST NICHOLAS AVENUE,34,1003043,249549
1498 1 AVENUE,19,997252,220474
15 AVENUE D,9,990240,201762
15 C AVENUE,9,989521,202022
15 COOPER STREET,34,1005060,255302
15 DOWNING STREET,6,983423,205076
15 DOYERS STREET,5,984769,199609
15 KING STREET,1,983262,204401
15 LEROY STREET,6,983305,205504
15 WADSWORTH AVENUE,33,1001304,247190
15 WAVERLY PLACE,6,985816,205282
150 EAST 2 STREET,9,988312,202629
150 EAST 3 STREET,9,988424,202866
150 EAST 91 STREET,19,997313,224364
150 ELIZABETH STREET,5,985613,201701
150 ESSEX STREET,7,987812,201802
150 MANHATTAN AVENUE,24,995035,230458
150 RIVINGTON STREET,7,988214,201331
150 SHERMAN AVENUE,34,1005482,254287
150 STANTON STREET,7,988262,201797
150 THOMPSON STREET,1,983978,204086
150 WOOSTER STREET,1,984358,203758
150 WOOSTER STREET,1,984358,203758
150 WOOSTER STREET,1,984358,203758
150 WOOSTER STREET,1,984358,203758
1500 3 AVENUE,19,996794,222672
1500 BROADWAY,14,988128,215025
1501 1 AVENUE,19,997271,220520
1501 1 AVENUE,19,997271,220520
1501 THIRD AVENUE,19,996810,222687
1502 1 AVENUE,19,997276,220517
1505 1 AVENUE,19,997295,220564
1507 YORK AVENUE,19,998081,220510
151 ALLEN STREET,5,987137,201870
151 EAST 80 STREET,19,995884,221808
151 EAST HOUSTON STREET,5,987215,202735
151 HILLSIDE AVENUE,34,1004806,252821
151 NAGLE AVENUE,34,1004710,253015
151 NAGLE AVENUE,34,1004710,253015
151 NAGLE AVENUE,34,1004710,253015
151 WEST 28 STREET,13,986479,211303
151 WEST 29 STREET,14,986604,211528
1510 ST NICHOLAS AVENUE,Unspecified,1003145,249722
1511 ST NICHOLAS AVENUE,34,1003150,249742
1514 MADISON AVENUE,23,997819,227676
1515 BROADWAY,14,988179,215298
152 DYCKMAN STREET,34,1004770,253790
152 NAGLE AVENUE,34,1004872,253099
152 SUFFOLK STREET,7,988271,201641
152 THOMPSON STREET,Unspecified,Unknown,Unknown
152 WOOSTER STREET,1,984367,203773
1524 1 AVENUE,19,997427,220788
1524 AMSTERDAM AVENUE,30,997516,237717
1526 1 AVENUE,19,997437,220805
1528 AMSTERDAM AVENUE,30,997535,237752
153 BOWERY,5,985805,201392
153 DYCKMAN STREET,34,1004769,253806
153 EAST HOUSTON STREET,5,987231,202728
153 MANHATTAN AVENUE,24,995068,230532
153 SHERMAN AVENUE,34,1005522,254300
1533 1 AVENUE,19,997517,220962
1534 ST NICHOLAS AVENUE,34,1003301,250002
1535 THIRD AVENUE,19,997055,223130
1536 AMSTERDAM AVENUE,30,997574,237822
154 BAXTER STREET,5,984735,201370
154 DYCKMAN STREET,34,1004760,253811
154 EAST 109 STREET,23,999628,228555
154 RIVINGTON STREET,7,988261,201312
1540 ST NICHOLAS AVENUE,34,1003362,250112
1543 ST NICHOLAS AVENUE,34,1003366,250132
1543 ST NICHOLAS AVENUE,34,1003366,250132
1546 ST NICHOLAS AVENUE,34,1003388,250159
155 AUDUBON AVENUE,33,1001881,246530
155 DYCKMAN STREET,34,1004761,253822
155 EAST 91 STREET,19,997337,224357
155 EAST 93 STREET,19,997564,224829
155 WEST 26 STREET,13,986208,210865
1550 YORK AVENUE,19,998356,220994
1554 YORK AVENUE,19,998403,221078
1556 ST NICHOLAS AVENUE,34,1003432,250239
1559 ST NICHOLAS AVENUE,34,1003445,250274
1559 ST NICHOLAS AVENUE,34,1003445,250274
1559 ST NICHOLAS AVENUE,34,1003445,250274
156 DELANCEY STREET,7,988053,200830
156 EAST 109 STREET,23,999640,228548
156 EAST 2 STREET,9,988358,202603
156 NAGLE AVENUE,34,1004921,253125
156 STANTON STREET,7,988378,201751
1560 2 AVENUE,19,996949,221473
1560 3 AVENUE,19,997202,223408
1560 3 AVENUE,19,997202,223408
1560 THIRD AVENUE,19,997202,223408
1562 2 AVENUE,19,996987,221541
1568 1 AVENUE,19,997687,221258
1568 3 AVENUE,19,997273,223537
1568 3 AVENUE,19,997273,223537
1568 THIRD AVENUE,19,997273,223537
1569 ST NICHOLAS AVENUE,Unspecified,Unknown,Unknown
157 CHRYSTIE STREET,5,986293,201777
157 HESTER STREET,5,985350,200682
157 MOTT STREET,5,985265,201387
157 SUFFOLK STREET,7,988366,201899
157 SUFFOLK STREET,7,988366,201899
157 VERMILYEA AVENUE,34,1006422,255173
157 WEST 29 STREET,14,986570,211547
1571 YORK AVENUE,19,998547,221352
1571 YORK AVENUE,19,998547,221352
1573 ST NICHOLAS AVENUE,34,1003535,250437
1576 2 AVENUE,19,997057,221667
1576 ST NICHOLAS AVENUE,34,1003576,250498
1577 3 AVENUE,19,997330,223626
1578 YORK AVENUE,19,998533,221315
158 EAST 28 STREET,Unspecified,Unknown,Unknown
158 EAST BROADWAY,7,986830,199413
158 EAST BROADWAY,7,986830,199413
158 GRAND STREET,Unspecified,984597,201557
158 MOTT STREET,5,985284,201426
158-18 RIVERSIDE DRIVE,33,998525,244107
158-18 RIVERSIDE DRIVE,33,998525,244107
1580 1 AVENUE,19,997781,221427
1580 3 AVENUE,19,997340,223657
1580 YORK AVENUE,19,998545,221336
1582 3 AVENUE,19,997351,223677
1582 ST NICHOLAS AVENUE,34,1003630,250595
1582 YORK AVENUE,19,998556,221356
1585 1 AVENUE,19,997801,221477
1585 3 AVENUE,19,997405,223763
1585 3 AVENUE,19,997405,223763
1586 AMSTERDAM AVENUE,30,997919,238445
1588 YORK AVENUE,19,998590,221417
159 2 AVENUE,9,987866,205090
159 EAST 10 STREET,9,987550,205355
159 EAST 126 STREET,25,1001882,232491
159 EAST 126 STREET,25,1001882,232491
159 EAST 92 STREET,19,997485,224573
159 WEST 27 STREET,13,986292,211112
159-34 RIVERSIDE DRIVE,33,998765,244514
1592 2 AVENUE,19,997172,221874
1592 ST NICHOLAS AVENUE,34,1003672,250671
1592 ST NICHOLAS AVENUE,34,1003672,250671
1593 2 AVENUE,19,997170,221884
1594 3 AVENUE,19,997444,223847
1594 ST NICHOLAS AVENUE,34,1003680,250686
1596 3 AVENUE,19,997455,223867
1596 AMSTERDAM AVENUE,30,997947,238494
1597 2 AVENUE,19,997190,221920
1598 3 AVENUE,19,997466,223888
16 COMMERCE STREET,Unspecified,983049,205862
16 EAST 116 STREET,25,999260,230878
16 WEST 125 STREET,28,1000014,233200
16 WEST 125 STREET,28,1000014,233200
160 EAST 125 STREET,25,1001747,232240
160 EAST 23 STREET,13,988669,208591
160 EAST 28 STREET,13,989308,209730
160 EAST 3 STREET,9,988511,202818
160 EAST 88 STREET,19,996972,223656
160 EAST 89 STREET,19,997119,223873
160 EAST 93 STREET,19,997605,224800
160 HENRY STREET,Unspecified,Unknown,Unknown
160 WEST 142 STREET,32,1001064,237737
160 WEST 82 STREET,20,990977,225123
1601 SAINT NICHOLAS AVENUE,34,1003730,250788
1601 ST NICHOLAS AVENUE,34,1003730,250788
1603 2 AVENUE,19,997249,222027
1603 YORK AVENUE,19,998708,221641
1604 1 AVENUE,19,997929,221695
1605 2 AVENUE,19,997260,222047
1608 AMSTERDAM AVENUE,30,998020,238627
161 BOWERY,5,985844,201516
161 EAST 109 STREET,23,999682,228531
161 WEST 106 STREET,24,994076,230719
161 WEST 120 STREET,28,998252,232664
161 WEST 22 STREET,13,985656,209947
1611 ST NICHOLAS AVENUE,34,1003781,250880
1613 ST NICHOLAS AVENUE,34,1003791,250899
1614 AMSTERDAM AVENUE,30,998050,238680
1617 ST NICHOLAS AVENUE,34,1003812,250936
1619 AMSTERDAM AVENUE,26,998133,238816
1619 YORK AVENUE,19,998808,221821
162 2 AVENUE,9,987941,205211
162 3 AVENUE,13,988040,206869
162 CHARLES STREET,6,981673,206679
162 EAST 33 STREET,17,989917,210863
162 WEST 125 STREET,28,998883,233826
1620 ST NICHOLAS AVENUE,34,1003866,251021
1621 AMSTERDAM AVENUE,26,998144,238836
1623 2 AVENUE,19,997386,222275
1623 AMSTERDAM AVENUE,26,998155,238856
1626 3 AVENUE,19,997671,224254
1626 PARK AVENUE,25,999869,230322
1627 AMSTERDAM AVENUE,26,998177,238895
1628 3 AVENUE,19,997680,224270
1629 PARK AVENUE,25,999899,230364
1629 PARK AVENUE,25,999899,230364
163 ALLEN STREET,5,987182,201989
163 ALLEN STREET,5,987182,201989
163 MULBERRY STREET,5,985042,201502
163 ORCHARD STREET,7,987369,201972
1630 MADISON AVENUE,23,998638,229153
1631 ST NICHOLAS AVENUE,34,1003909,251112
1634 MADISON AVENUE,23,998655,229185
1635 AMSTERDAM AVENUE,26,998221,238974
1635 AMSTERDAM AVENUE,26,998221,238974
1635 MADISON AVENUE,23,998656,229173
1636 3 AVENUE,19,997716,224334
1636 3 AVENUE,19,997716,224334
1638 ST NICHOLAS AVENUE,34,1003954,251180
1639 ST NICHOLAS AVENUE,34,1003949,251183
164 EAST 33 STREET,17,989928,210857
164 EAST 88 STREET,19,996994,223644
164 WEST 127 STREET,Unspecified,Unknown,Unknown
164 WEST 128 STREET,32,999258,234534
164 WEST 146 STREET,32,1001573,238689
164 WEST 25 STREET,13,986024,210666
164 WEST 96 STREET,24,992763,228399
1642 LEXINGTON AVENUE,23,998803,227341
1643 1 AVENUE,19,998200,222196
1644 3 AVENUE,19,997781,224451
1644 3 AVENUE,19,997781,224451
1645 ST NICHOLAS AVENUE,34,1004019,251312
1646 MADISON AVENUE,23,998707,229279
1649 1 AVENUE,19,998237,222261
165 CROSBY STREET,9,985558,203727
165 EAST 87 STREET,19,996862,223424
165 ELIZABETH STREET,5,985669,201916
165 HENRY STREET,7,987220,199210
165 HILLSIDE AVENUE,34,1004838,252876
165 RUTGERS ST,Unspecified,Unknown,Unknown
165 WEST 127 STREET,Unspecified,Unknown,Unknown
165 WEST 26 STREET,13,986151,210896
165 WEST 26 STREET,13,986151,210896
165 WEST 29 STREET,14,986525,211572
1650 ST NICHOLAS AVENUE,34,1004034,251327
1652 3 AVENUE,19,997826,224531
1653 ST NICHOLAS AVENUE,34,1004094,251487
1655 1 AVENUE,19,998300,222376
1656 THIRD AVENUE,19,997848,224571
1658 3 AVENUE,19,997859,224591
1658 3 AVENUE,19,997859,224591
166 1 AVENUE,9,988596,204838
166 1 AVENUE,Unspecified,988596,204838
166 3 AVENUE,13,988086,206951
166 EAST 118 STREET,Unspecified,Unknown,Unknown
166 EAST 124 STREET,25,1001631,231983
166 EAST 124 STREET,25,1001631,231983
166 EAST 2 STREET,9,988436,202559
166 EAST 92 STREET,19,997519,224548
166 HENRY STREET,7,987248,199207
166 NAGLE AVENUE,34,1004970,253163
166 RIVINGTON STREET,7,988447,201238
166 SUFFOLK STREET,7,988360,201866
166 WEST 27 STREET,13,986261,211122
1662 3 AVENUE,19,997908,224680
1662 3 AVENUE,19,997908,224680
1662 PARK AVENUE,25,1000142,230808
1664 3 AVENUE,19,997921,224703
1666 1 AVENUE,Unspecified,998390,222527
1667 1 AVENUE,Unspecified,Unknown,Unknown
1668 3 AVENUE,19,997946,224749
167 9 AVENUE,10,983475,210516
167 EAST 121 STREET,25,1001283,231286
167 ELIZABETH STREET,5,985675,201935
167 WEST 126 STREET,28,998999,234088
1670 YORK AVENUE,19,999130,222389
1671 LEXINGTON AVENUE,23,998964,227621
1673 LEXINGTON AVENUE,Unspecified,Unknown,Unknown
1677 AMSTERDAM AVENUE,30,998463,239411
1678 1 AVENUE,19,998470,222671
1678 FIRST AVENUE,19,998470,222671
168 BLEECKER STREET,6,984159,204773
168 DELANCEY STREET,7,988280,200729
168 FORSYTH STREET,5,986632,202028
168 WEST 25 STREET,13,986002,210678
1680 1 AVENUE,19,998478,222685
1680 YORK AVENUE,19,999205,222525
1680 YORK AVENUE,19,999205,222525
1685 1 AVENUE,19,998465,222675
1685 3 AVENUE,19,998078,224974
1685 LEXINGTON AVENUE,Unspecified,Unknown,Unknown
1689 1 AVENUE,19,998479,222700
1689 1 AVENUE,19,998479,222700
1689 3 AVENUE,19,998103,225020
1689 3 AVENUE,19,998103,225020
1689 AMSTERDAM AVENUE,30,998561,239589
169 10 AVENUE,10,982732,211030
169 BOWERY,Unspecified,985868,201591
169 CHRYSTIE STREET,5,986341,201900
1690 2 AVENUE,19,997818,223041
1690 LEXINGTON AVENUE,23,999143,227956
1691 2 AVENUE,19,997817,223053
1692 YORK AVENUE,19,999253,222612
1693 2 AVENUE,19,997827,223071
1695 AMSTERDAM AVENUE,30,998598,239657
17 ALLEN STREET,5,986354,199862
17 AMSTERDAM AVENUE,20,987794,220156
17 AVENUE A,9,988144,202594
17 AVENUE D,Unspecified,990251,201782
17 DIVISION STREET,5,985204,199431
17 EAST 94 STREET,19,996442,225749
17 ESSEX STREET,7,987040,199849
17 FORT GEORGE HILL,34,1004371,251860
17 MURRAY STREET,1,982015,199206
17 POST AVENUE,34,1005143,253669
17 WAVERLY PLACE,6,985792,205297
17 WEST 108 STREET,24,995389,230614
17 WEST 125 STREET,28,1000006,233211
170 DYCKMAN STREET,34,1004642,254053
170 EAST 106 STREET,23,999361,227784
170 ELDRIDGE STREET,5,986772,201668
170 ELDRIDGE STREET,Unspecified,986772,201668
170 FORSYTH STREET,5,986642,202053
170 FORSYTH STREET,5,986642,202053
170 WEST 78 STREET,20,990389,224195
1700 2 AVENUE,19,997900,223190
1700 2 AVENUE,Unspecified,Unknown,Unknown
1701 1 AVENUE,19,998551,222830
1704 AMSTERDAM AVENUE,30,998653,239768
1705 LEXINGTON AVENUE,23,999234,228107
171 AUDUBON AVENUE,33,1001987,246722
171 BOWERY,Unspecified,985874,201609
171 EAST 122 STREET,25,1001382,231529
171 EAST 2 STREET,9,988476,202529
171 EAST 88 STREET,19,997049,223620
171 HESTER STREET,5,985129,200784
171 HESTER STREET,5,985129,200784
171 WEST 26 STREET,13,986118,210915
171 WEST 80 STREET,20,990668,224698
1710 AMSTERDAM AVENUE,30,998685,239825
1713 1 AVENUE,19,998610,222936
1714 AMSTERDAM AVENUE,30,998707,239863
1716 2 AVENUE,19,998026,223420
1716 2 AVENUE,19,998026,223420
1718 1 AVENUE,19,998683,223054
172 ALLEN STREET,Unspecified,987224,202080
172 EAST 91 STREET,Unspecified,997430,224298
172 FORSYTH STREET,5,986651,202077
172 LUDLOW STREET,7,987699,202186
1720 2 AVENUE,19,998051,223466
1720 2 AVENUE,19,998051,223466
1720 2 AVENUE,19,998051,223466
1722 AMSTERDAM AVENUE,30,998780,239996
1726 2 AVENUE,19,998089,223534
1726 AMSTERDAM AVENUE,30,998804,240039
1728 2 AVENUE,19,998101,223557
1729 1 AVENUE,19,998722,223138
173 HENRY STREET,7,987304,199219
173 HENRY STREET,7,987304,199219
173 MOTT STREET,5,985328,201597
173 SHERMAN AVENUE,34,1005674,254374
173 WEST 141 STREET,32,1000874,237553
173 WEST BROADWAY,1,982205,200806
1730 AMSTERDAM AVENUE,30,998828,240082
1732 AMSTERDAM AVENUE,30,998840,240103
1733 2 AVENUE,Unspecified,Unknown,Unknown
1734 2 AVENUE,19,998165,223671
1736 2 AVENUE,19,998178,223693
1739 AMSTERDAM AVENUE,30,998907,240214
174 EAST 2 STREET,9,988497,202524
174 HENRY STREET,Unspecified,987327,199216
174 LUDLOW STREET,7,987705,202203
174 LUDLOW STREET,7,987705,202203
174 MOTT STREET,5,985365,201696
174 RIVINGTON STREET,7,988541,201200
174 WEST 107 STREET,Unspecified,Unknown,Unknown
174 WEST HOUSTON STREET,6,983396,204714
1744 1 AVENUE,19,998835,223329
1744 1 AVENUE,19,998835,223329
1745 1 AVENUE,19,998838,223347
1746 1 AVENUE,19,998848,223352
1746 1 AVENUE,19,998848,223352
1746 FIRST AVENUE,19,998848,223352
1748 2 AVENUE,19,998280,223876
1749 AMSTERDAM AVENUE,30,998956,240302
175 8 AVENUE,10,984154,209883
175 8 AVENUE,10,984154,209883
175 DYCKMAN STREET,34,1004641,254068
175 EAST 116 STREET,Unspecified,Unknown,Unknown
175 EAST 92 STREET,19,997571,224526
175 EIGHTH AVENUE,10,984154,209883
175 LUDLOW STREET,7,987723,202265
175 PAYSON AVENUE,34,1005351,255868
175 PAYSON AVENUE,34,1005351,255868
175 WEST 107 STREET,24,994135,231008
175 WEST 107 STREET,24,994135,231008
175 WEST 79 STREET,20,990507,224462
1750 2 AVENUE,19,998291,223896
1750 SECOND AVENUE,19,998291,223896
1753 AMSTERDAM AVENUE,30,998976,240338
1754 1 AVENUE,19,998898,223444
1755 LEXINGTON AVENUE,Unspecified,Unknown,Unknown
1758 1 AVENUE,19,998946,223531
1758 1 AVENUE,19,998946,223531
176 3 AVENUE,13,988132,207035
176 DELANCEY STREET,7,988371,200691
176 DELANCY STREET,7,988371,200691
176 EAST 109 STREET,23,999759,228480
176 EAST 110 STREET,23,999885,228714
176 LAFAYETTE STREET,5,984608,201765
176 LUDLOW STREET,7,987711,202219
176 LUDLOW STREET,7,987711,202219
176 LUDLOW STREET,7,987711,202219
176 LUDLOW STREET,7,987711,202219
176 RIVINGTON STREET,7,988564,201191
176 WEST 94 STREET,24,992434,227963
176 WEST HOUSTON STREET,6,983377,204732
1760 1 AVENUE,19,998956,223549
1760 AMSTERDAM AVENUE,30,999037,240460
1763 AMSTERDAM AVENUE,30,999053,240477
1764 1 AVENUE,Unspecified,998976,223584
1765 MADISON AVENUE,25,999501,230698
1765 MADISON AVENUE,25,999501,230698
1766 2 AVENUE,19,998407,224104
1766 2 AVENUE,19,998407,224104
177 CHRYSTIE STREET,5,986373,201982
177 CHRYSTIE STREET,5,986373,201982
177 EAST 100 STREET,23,998592,226399
177 EAST 73 STREET,19,995116,220073
177 LUDLOW STREET,7,987731,202288
177 LUDLOW STREET,7,987731,202288
177 LUDLOW STREET,7,987731,202288
177 ORCHARD STREET,7,987471,202232
177 RIVINGTON STREET,7,988562,201185
177 SPRING STREET,1,983554,203355
177 SPRING STREET,1,983554,203355
177 WEST 88 STREET,24,991675,226597
1771 1 AVENUE,19,998988,223618
1771 AMSTERDAM AVENUE,30,999093,240547
1773 AMSTERDAM AVENUE,30,999103,240565
1773 LEXINGTON AVENUE,23,999626,228816
1774 AMSTERDAM AVENUE,30,999100,240572
1774 LEXINGTON AVENUE,23,999682,228928
1776 AMSTERDAM AVENUE,30,999108,240587
1777 1 AVENUE,19,999012,223662
178 DELANCEY STREET,7,988389,200683
178 DELANCY STREET,7,988389,200683
178 EAST 124 STREET,25,1001700,231944
178 EAST 88 STREET,19,997075,223599
178 EAST 88 STREET,19,997075,223599
178 EAST 94 STREET,19,997831,224973
1787 AMSTERDAM AVENUE,30,999199,240739
1789 AMSTERDAM AVENUE,30,999209,240757
179 CHRYSTIE STREET,5,986424,202111
179 EAST 116 STREET,Unspecified,Unknown,Unknown
179 EAST HOUSTON STREET,7,987536,202603
179 GRAND STREET,5,984874,201398
179 GRAND STREET,5,984874,201398
179 MULBERRY STREET,5,985135,201813
18 ALLEN STREET,Unspecified,986378,199908
18 BLEECKER STREET,9,986148,203586
18 BOWERY,5,985037,199599
18 JEFFERSON STREET,7,987399,199299
18 MORTON STREET,6,983206,205695
18 PELL STREET,5,984835,199698
18 SPRING STREET,5,985643,202106
18 WEST 125 STREET,28,1000001,233207
180 3 AVENUE,13,988150,207068
180 3 AVENUE,13,988150,207068
180 AVENUE B,9,989977,204386
180 BOWERY,5,985930,201811
180 EAST 82 STREET,19,996308,222171
180 EAST 94 STREET,19,997843,224967
180 EAST 94 STREET,19,997843,224967
180 LENOX AVENUE,Unspecified,998593,232218
180 MOTT STREET,5,985388,201774
180 PINEHURST AVENUE,34,1001362,250529
180 SOUTH STREET,5,984540,197519
180 SUFFOLK STREET,7,988405,201981
1800 PARK AVENUE,25,1001028,232410
1801 1 AVENUE,19,999208,224012
1801 AMSTERDAM AVENUE,30,999295,240913
1803 RIVERSIDE DRIVE,34,1003575,254861
1805 AMSTERDAM AVENUE,30,999315,240949
181 EAST 73 STREET,19,995138,220062
181 SHERMAN AVENUE,34,1005735,254404
1810 2 AVENUE,19,998598,224446
1810 AMSTERDAM AVENUE,30,999339,241005
1812 2 AVENUE,19,998604,224458
182 LENOX AVENUE,Unspecified,998603,232236
1827 2 AVENUE,19,998705,224653
1829 2 AVENUE,19,998715,224670
183 CHRYSTIE STREET,5,986441,202156
183 STANTON STREET,7,988713,201610
1832 2 AVENUE,19,998720,224668
1834 2 AVENUE,19,998730,224685
184 1 AVENUE,9,988720,205063
184 7 AVENUE,10,985177,209872
184 AUDUBON AVENUE,33,1002071,246886
184 BOWERY,5,985944,201856
184 EAST 122 STREET,25,1001474,231472
184 LENOX AVENUE,28,998612,232254
1841 1 AVENUE,19,999450,224449
1841 1 AVENUE,19,999450,224449
185 EAST 115 STREET,25,1000573,229831
185 EAST 80 STREET,19,996073,221704
1850 AMSTERDAM AVENUE,30,999581,241442
1858 LEXINGTON AVENUE,25,1000307,230058
186 BOWERY,5,985950,201878
186 BOWERY,5,985950,201878
186 EAST 109 STREET,23,999818,228446
186 EAST 123 STREET,Unspecified,Unknown,Unknown
186 LENOX AVENUE,28,998622,232271
1863 LEXINGTON AVENUE,25,1000347,230117
187 CHRISTOPHER STREET,6,981498,206128
187 EAST 4 STREET,9,988567,203086
187 EAST 7 STREET,9,989659,203333
187 SHERMAN AVENUE,34,1005780,254426
187 SPRING STREET,1,983435,203431
187 STANTON STREET,7,988749,201596
1873 LEXINGTON AVENUE,25,1000469,230336
1874 LEXINGTON AVENUE,25,1000464,230339
1875 AMSTERDAM AVENUE,30,999739,241712
1877 7 AVENUE,28,997151,231472
1877 AMSTERDAM AVENUE,30,999746,241724
1879 AMSTERDAM AVENUE,30,999752,241736
188 1 AVENUE,9,988745,205109
188 11 AVENUE,10,982359,212209
188 AUDUBON AVENUE,33,1002097,246933
188 EAST 109 STREET,23,999830,228440
188 EAST 2 STREET,9,988606,202463
188 LENOX AVENUE,28,998632,232289
188 ST NICHOLAS AVENUE,28,997312,233022
188 STANTON STREET,7,988843,201564
189 AVENUE A,9,989384,204833
189 BOWERY,5,985949,201854
189 EAST BROADWAY,7,987356,199468
189 EAST BROADWAY,Unspecified,987356,199468
1895 7 AVENUE,28,997212,231581
1895 AMSTERDAM AVENUE,30,999858,241928
18B DOYERS STREET,5,984779,199633
19 ALLEN STREET,5,986365,199891
19 ALLEN STREET,Unspecified,986365,199891
19 AVENUE D,Unspecified,990261,201802
19 DOYERS STREET,5,984773,199633
19 EAST 19 STREET,13,986977,208363
19 HAMILTON PLACE,30,997149,238539
19 HAMILTON PLACE,30,997149,238539
19 PELL STREET,5,984760,199712
19 PELL STREET,5,984760,199712
190 LENOX AVENUE,28,998642,232307
190 MULBERRY STREET,5,985215,202061
190 NAGLE AVENUE,34,1005330,253318
190 PRINCE STREET,1,983565,203976
190 PRINCE STREET,1,983565,203976
190 WEST 135 STREET,32,1000014,236217
191 CLAREMONT AVENUE,26,995289,236202
191 ST NICHOLAS AVENUE,28,997305,233034
1912 7 AVENUE,28,997314,231777
1916 7 AVENUE,Unspecified,997329,231805
192 BRADHURST AVENUE,32,1000838,240627
1925 7 AVENUE,28,997445,232003
193 CANAL STREET,5,984757,200486
193 CHRYSTIE STREET,5,986485,202270
193 MANHATTAN AVENUE,24,995225,230815
1938 3 AVENUE,Unspecified,Unknown,Unknown
194 MANHATTAN AVENUE,24,995235,230820
1940 7 AVENUE,28,997546,232198
1943 7 AVENUE,28,997571,232230
1946 AMSTERDAM AVENUE,33,1000217,242594
1949 AMSTERDAM AVENUE,33,1000234,242611
195 CENTER STREET,5,984415,201125
195 CENTER STREET,5,984415,201125
195 CENTRE STREET,5,984415,201125
1950 3 AVENUE,23,999742,227989
1958 7 AVENUE,Unspecified,Unknown,Unknown
196 1 AVENUE,9,988796,205202
196 CENTRE STREET,5,984445,201162
196 COLUMBUS AVENUE,20,989702,221755
196 EAST 75 STREET,19,995474,220471
196 MERCER STREET,6,985066,203938
196 MULBERRY STREET,5,985231,202115
196 WEST 108 STREET,24,994135,231301
1963 AMSTERDAM AVENUE,33,1000330,242782
1964 3 AVENUE,23,999811,228114
1967 AMSTERDAM AVENUE,33,1000348,242814
1967 AMSTERDAM AVENUE,33,1000348,242814
1968 2 AVENUE,23,999576,226220
197 MADISON STREET,7,986914,198904
198 WEST 134 STREET,32,999836,235995
1980 2 AVENUE,23,999641,226337
1980 AMSTERDAM AVENUE,33,1000433,242981
1982 3 AVENUE,23,999936,228339
1982 3 AVENUE,Unspecified,Unknown,Unknown
1982 AMSTERDAM AVENUE,33,1000443,242998
1984 3 AVENUE,23,999973,228408
1984 AMSTERDAM AVENUE,33,1000453,243016
1986 3 AVENUE,23,999983,228426
1987 3 AVENUE,23,999996,228438
1988 AMSTERDAM AVENUE,33,1000473,243052
1989 7 AVENUE,28,997839,232714
1989 AMSTERDAM AVENUE,33,1000478,243049
1989 AMSTERDAM AVENUE,33,1000478,243049
199 AUDUBON AVENUE,33,1002217,247137
199 CHRYSTIE STREET,5,986512,202338
199 DYCKMAN STREET,34,1004500,254359
199 EAST 109 STREET,23,1000076,228309
199 EAST 3 STREET,9,988828,202649
199 EAST 76 STREET,19,995620,220700
199 SHERMAN AVENUE,34,1006051,254558
1990 3 AVENUE,23,1000003,228463
1991 LEXINGTON AVENUE,Unspecified,Unknown,Unknown
1992 MADISON AVENUE,25,1000922,233275
1992 MADISON AVENUE,25,1000922,233275
1993 AMSTERDAM AVENUE,33,1000498,243084
1995 AMSTERDAM AVENUE,33,1000508,243102
1997 AMSTERDAM AVENUE,33,1000518,243120
1997 LEXINGTON AVENUE,25,1001147,231559
1998 3 AVENUE,23,1000042,228536
2 BANK STREET,6,983818,207839
2 CATHERINE STREET,5,984952,199378
2 DELANCY STREET,5,985981,201679
2 ELIZABETH STREET,5,984915,199963
2 MANHATTAN AVENUE,24,994157,228876
2 MOTT STREET,5,984619,199320
2 OLIVER STREET,5,984767,199118
2 ORCHARD STREET,7,986443,199584
2 SICKLES STREET,34,1004296,252949
2 SOUTH PINEHURST AVENUE,33,1000667,248044
2 SPRING STREET,5,985931,201951
2 SPRING STREET,5,985931,201951
2 ST NICHOLAS PLACE,30,1000075,240461
2 ST NICHOLAS TERRACE,26,997493,235258
2 WEST 111 STREET,28,998296,229893
2 WEST 111 STREET,28,998296,229893
2 WEST 125 STREET,28,1000102,233150
2 WEST 125 STREET,28,1000102,233150
2 WEST 18 STREET,13,986388,208406
2 WEST 29 STREET,13,987821,210848
20 BOWERY,5,985065,199655
20 EAST 116 STREET,25,999295,230859
20 MULBERRY STREET,5,984370,199501
20 PELL STREET,5,984761,199718
20 WARREN STREET,1,982133,199417
20 WARREN STREET,1,982133,199417
